uid,OBJECTID,PROVINCE,DISTRICT,Shape_Leng,ADMIN_UNIT,Shape_Le_1,Shape_Le_2,Shape_Area,affected_facilities_by_district_total_facilities,affected_facilities_by_district_affected_facilities,affected_facilities_by_district_affected_pct,combined_punjab_sindh_5km_10km_15km_Total_15km,combined_punjab_sindh_5km_10km_15km_Affected_15km,combined_punjab_sindh_5km_10km_15km_Pct_15km,combined_punjab_sindh_5km_10km_15km_Total_5km,combined_punjab_sindh_5km_10km_15km_Affected_5km,combined_punjab_sindh_5km_10km_15km_Pct_5km,combined_punjab_sindh_5km_10km_15km_Total_10km,combined_punjab_sindh_5km_10km_15km_Affected_10km,combined_punjab_sindh_5km_10km_15km_Pct_10km
85,88,PUNJAB,ATTOCK,4.74205429734,DISTRICT,4.74205429943,4.74205429943,0.66231982098,,,,2,2,100,2,2,100,2,2,100
86,89,PUNJAB,BAHAWALNAGAR,7.04632409325,DISTRICT,7.04632408565,7.04632408565,0.79642644729,,,,5,2,40,5,4,80,5,3,60
87,90,PUNJAB,BAHAWALPUR,9.20493568697,DISTRICT,9.20493567606,9.20493567606,2.21050819571,,,,13,11,84.6,13,12,92.3,13,12,92.3
88,91,PUNJAB,BHAKKAR,4.59614473944,DISTRICT,4.59614474226,4.59614474226,0.81028580752,,,,55,53,96.4,55,55,100,55,54,98.2
89,92,PUNJAB,CHAKWAL,4.77599636092,DISTRICT,4.7759963602,4.7759963602,0.64380639067,,,,2,0,0,2,0,0,2,0,0
90,93,PUNJAB,CHINIOT,2.65363834506,DISTRICT,2.65363834471,2.65363834471,0.24816570197,,,,15,14,93.3,15,14,93.3,15,14,93.3
91,94,PUNJAB,D G KHAN,5.56203211607,DISTRICT,5.56203211635,5.56203211635,1.09743200529,,,,10,9,90,10,10,100,10,10,100
92,95,PUNJAB,FAISALABAD,4.23381568963,DISTRICT,4.23381568835,4.23381568835,0.56430175852,,,,1,0,0,1,0,0,1,0,0
93,96,PUNJAB,GUJRANWALA,3.00084745111,DISTRICT,3.0008474495,3.0008474495,0.3463844845,,,,3,2,66.7,3,2,66.7,3,2,66.7
94,97,PUNJAB,GUJRAT,2.48359309713,DISTRICT,2.48359309613,2.48359309613,0.30554033346,,,,21,0,0,21,5,23.8,21,5,23.8
95,98,PUNJAB,HAFIZABAD,2.15455583292,DISTRICT,2.15455583351,2.15455583351,0.21705032613,,,,3,0,0,3,3,100,3,3,100
96,99,PUNJAB,JHANG,5.09898591808,DISTRICT,5.09898591629,5.09898591629,0.60108602017,,,,4,2,50,4,3,75,4,2,50
97,100,PUNJAB,JHELUM,4.0553205683,DISTRICT,4.05532056477,4.05532056477,0.34465199139,,,,1,0,0,1,0,0,1,0,0
98,101,PUNJAB,KASUR,3.86861204144,DISTRICT,3.86861204172,3.86861204172,0.36798621518,,,,17,4,23.5,17,10,58.8,17,4,23.5
99,103,PUNJAB,KHUSHAB,4.03690851092,DISTRICT,4.03690851077,4.03690851077,0.63329632986,,,,6,0,0,6,2,33.3,6,0,0
100,104,PUNJAB,LAHORE,2.49228064269,DISTRICT,2.44603830281,2.44603830281,0.15983502124,,,,13,0,0,13,11,84.6,13,2,15.4
101,105,PUNJAB,LAYYAH,3.99690767196,DISTRICT,3.99690767054,3.99690767054,0.60224536499,,,,9,1,11.1,9,1,11.1,9,1,11.1
102,106,PUNJAB,LODHRAN,3.4928707464,DISTRICT,3.49287074559,3.49287074559,0.24808442915,,,,,,,,,,,,
103,107,PUNJAB,MANDI BAHAUDDIN,2.63685589849,DISTRICT,2.63685590419,2.63685590419,0.26455425108,,,,18,9,50,18,16,88.9,18,15,83.3
104,108,PUNJAB,MIANWALI,4.19334652859,DISTRICT,4.19334652642,4.19334652642,0.57955222528,,,,5,5,100,5,5,100,5,5,100
105,109,PUNJAB,MULTAN,4.04397871066,DISTRICT,4.0439787105,4.0439787105,0.3406389045,,,,7,6,85.7,7,7,100,7,7,100
106,110,PUNJAB,MUZAFARGARH,6.06087775524,DISTRICT,6.06087775209,6.06087775209,0.71730811499,,,,2,0,0,2,0,0,2,0,0
107,111,PUNJAB,NANKANA SAHIB,4.27509595409,DISTRICT,4.27509594818,4.27509594818,0.26333316508,,,,16,9,56.2,16,14,87.5,16,11,68.8
108,112,PUNJAB,NAROWAL,2.80192735958,DISTRICT,2.7992446861,2.7992446861,0.22225896641,,,,6,0,0,6,0,0,6,0,0
109,113,PUNJAB,OKARA,4.27127460327,DISTRICT,4.27127460258,4.27127460258,0.41570592992,,,,56,52,92.9,56,53,94.6,56,52,92.9
110,114,PUNJAB,PAKPATTAN,3.77322273844,DISTRICT,3.77322273879,3.77322273879,0.27087094578,,,,36,21,58.3,36,33,91.7,36,32,88.9
111,115,PUNJAB,R Y KHAN,7.07000941822,DISTRICT,7.07000941319,7.07000941319,1.18655167519,,,,2,2,100,2,2,100,2,2,100
112,116,PUNJAB,RAJANPUR,6.24914605142,DISTRICT,6.24914605488,6.24914605488,1.16202125103,,,,8,0,0,8,8,100,8,8,100
113,117,PUNJAB,RAWALPINDI,5.48900514819,DISTRICT,5.48900514908,5.48900514908,0.50483907869,,,,7,0,0,7,1,14.3,7,0,0
114,118,PUNJAB,SAHIWAL,4.25915948587,DISTRICT,4.25915948775,4.25915948775,0.30303866723,,,,3,0,0,3,2,66.7,3,0,0
115,119,PUNJAB,SARGODHA,4.66255213833,DISTRICT,4.66255213698,4.66255213698,0.55221831613,,,,20,19,95,20,20,100,20,19,95
116,120,PUNJAB,SHEIKHUPURA,4.1066287642,DISTRICT,4.1066287608,4.1066287608,0.28832863303,,,,3,0,0,3,0,0,3,0,0
117,121,PUNJAB,SIALKOT,2.88480719473,DISTRICT,3.27031717559,3.27031717559,0.29650519602,,,,8,0,0,8,0,0,8,0,0
118,122,PUNJAB,T. T SINGH,3.72732832606,DISTRICT,3.72692653221,3.72692653221,0.28981228459,,,,6,0,0,6,4,66.7,6,4,66.7
119,123,PUNJAB,VEHARI,4.94444460735,DISTRICT,4.94444460503,4.94444460503,0.41941770851,,,,6,0,0,6,0,0,6,0,0
154,102,PUNJAB,KHANEWAL,4.1761099865,DISTRICT,4.17570819221,4.17570819221,0.40934228382,,,,6,0,0,6,1,16.7,6,0,0
120,124,SINDH,BADIN,5.00829098434,DISTRICT,5.00834769254,5.00834769254,0.57730030263,,,,5,5,100,5,5,100,5,5,100
121,125,SINDH,DADU,4.23682585578,DISTRICT,4.3559351505,4.3559351505,0.72970712103,,,,1,0,0,1,0,0,1,0,0
122,126,SINDH,GHOTKI,3.79730810176,DISTRICT,4.09732840114,4.09732840114,0.59595041961,,,,4,0,0,4,3,75,4,2,50
123,127,SINDH,HYDERABAD,1.44826589485,DISTRICT,1.44826589086,1.44826589086,0.09160207466,,,,38,36,94.7,38,38,100,38,37,97.4
124,128,SINDH,JACOBABAD,2.85527709441,DISTRICT,2.85527709513,2.85527709513,0.25473106922,,,,2,1,50,2,1,50,2,1,50
125,129,SINDH,JAMSHORO,5.49028430973,DISTRICT,5.52716129682,5.52716129682,1.01209517897,,,,1,1,100,1,1,100,1,1,100
126,131,SINDH,KASHMORE,2.86194861983,DISTRICT,2.67893910091,2.67893910091,0.23462616619,,,,30,24,80,30,26,86.7,30,25,83.3
127,132,SINDH,KHAIRPUR,7.0159045816,DISTRICT,7.01590458351,7.01590458351,1.44586357852,,,,4,1,25,4,1,25,4,1,25
128,133,SINDH,LARKANA,2.68535164249,DISTRICT,2.67880204397,2.67880204397,0.17414306453,,,,11,3,27.3,11,9,81.8,11,3,27.3
129,134,SINDH,MATIARI,2.2313484831,DISTRICT,2.23134848858,2.23134848858,0.13129350609,,,,10,8,80,10,8,80,10,8,80
130,135,SINDH,MIRPURKHAS,3.14574955447,DISTRICT,3.14574955481,3.14574955481,0.29759634974,,,,10,8,80,10,8,80,10,8,80
131,136,SINDH,NAUSHAHRO FEROZ,2.64668192685,DISTRICT,2.65839157323,2.65839157323,0.27498124259,,,,9,6,66.7,9,9,100,9,6,66.7
132,137,SINDH,SANGHAR,5.75017203269,DISTRICT,5.75017203669,5.75017203669,0.92459613898,,,,5,3,60,5,3,60,5,3,60
133,138,SINDH,SHAHDAD KOT,3.17331955374,DISTRICT,3.1730480254,3.1730480254,0.51194235008,,,,1,0,0,1,1,100,1,0,0
134,139,SINDH,S. BENAZIRABAD,3.05411393256,DISTRICT,3.05411392877,3.05411392877,0.41763135357,,,,3,1,33.3,3,1,33.3,3,1,33.3
135,140,SINDH,SHIKARPHUR,2.23221604234,DISTRICT,2.23221604109,2.23221604109,0.2362969576,,,,69,52,75.4,69,57,82.6,69,55,79.7
136,141,SINDH,SUKKUR,4.09755970499,DISTRICT,4.09755970642,4.09755970642,0.47639891045,,,,11,6,54.5,11,6,54.5,11,6,54.5
137,142,SINDH,T. AYAR,1.73941070962,DISTRICT,1.73941070978,1.73941070978,0.1411816261,,,,6,3,50,6,6,100,6,5,83.3
138,143,SINDH,T. M KHAN,2.89956606141,DISTRICT,2.89956606187,2.89956606187,0.16215717084,,,,2,0,0,2,0,0,2,0,0
139,144,SINDH,THARPARKAR,7.92529503264,DISTRICT,7.92529503622,7.92529503622,1.76824657277,,,,1,1,100,1,1,100,1,1,100
140,145,SINDH,SUJJAWAL,14.2919003605,DISTRICT,6.40530771116,6.40530771116,0.7733638397,,,,13,11,84.6,13,12,92.3,13,12,92.3
141,146,SINDH,UMERKOT,4.46403037632,DISTRICT,4.4640303781,4.4640303781,0.49362586738,,,,11,10,90.9,11,10,90.9,11,10,90.9
142,130,SINDH,KARACHI CENTRAL,0,DISTRICT,0.36669101469,0.36669101469,0.00549670164,,,,2,0,0,2,0,0,2,0,0
143,130,SINDH,KARACHI WEST,0,DISTRICT,1.59304988696,1.59304988696,0.04259149691,,,,,,,,,,,,
144,130,SINDH,MALIR CANTONMENT,0,CANTONMENT,0.43908744128,0.43908744128,0.00652847274,,,,,,,,,,,,
145,130,SINDH,KORANGI CREEK CANTONMENT,0,CANTONMENT,0.23339070957,0.23339070957,0.00198385018,,,,6,0,0,6,3,50,6,0,0
146,130,SINDH,MANORA CANTONMENT,0,CANTONMENT,0.11537261756,0.11537261756,0.00041358248,,,,1,0,0,1,0,0,1,0,0
147,130,SINDH,CLIFTON CANTONMENT,0,CANTONMENT,0.36126213254,0.36126213254,0.00387514764,,,,,,,,,,,,
148,130,SINDH,KARACHI CANTONMENT,0,CANTONMENT,0.10217169858,0.10217169858,0.00044637759,,,,79,22,27.8,79,76,96.2,79,24,30.4
149,130,SINDH,FAISAL CANTONMENT,0,CANTONMENT,0.49194722031,0.49194722031,0.00335809218,,,,,,,,,,,,
150,130,SINDH,KARACHI SOUTH,0,DISTRICT,0.65861998605,0.65861998605,0.00543727986,,,,4,0,0,4,0,0,4,0,0
153,130,SINDH,MALIR,0,DISTRICT,3.55342665472,3.55342665472,0.24521039507,,,,1,0,0,1,0,0,1,0,0
156,130,SINDH,KORANGI,0,DISTRICT,0.54570994976,0.54570994976,0.00815625041,,,,2,0,0,2,0,0,2,0,0
157,130,SINDH,KARACHI EAST,0,DISTRICT,0.41492140264,0.41492140264,0.00497678513,,,,,,,,,,,,
158,145,SINDH,THATTA,14.2919003605,DISTRICT,11.7951326518,11.7951326518,0.68755451041,,,,34,33,97.1,34,34,100,34,34,100
